2024-11-06 22:13:34 | process_logger | INFO | Logger inicializado en modo global.
2024-11-06 22:14:00 | process_logger | INFO | Solicitud recibida en /api/v1/predict/
2024-11-06 22:14:00 | process_logger | INFO | Cargando el modelo...
2024-11-06 22:14:00 | process_logger | INFO | Cargando el modelo desde: models/linear_regression.pkl
2024-11-06 22:14:00 | process_logger | INFO | Ejecutando el pipeline de transformación...
2024-11-06 22:14:00 | process_logger | INFO | Ejecutando Step 1 con pipeline: pipes/pipeline_1.pkl
2024-11-06 22:14:00 | process_logger | INFO | Cargando el pipeline: /app/pipes/pipeline_1.pkl
2024-11-06 22:14:00 | process_logger | INFO | Ejecutando Step 2 con pipeline: pipes/pipeline_2.pkl
2024-11-06 22:14:00 | process_logger | INFO | Cargando el pipeline: /app/pipes/pipeline_2.pkl
2024-11-06 22:14:02 | process_logger | INFO | Ejecutando Step 3 con pipeline: pipes/pipeline_3.pkl
2024-11-06 22:14:02 | process_logger | INFO | Cargando el pipeline: /app/pipes/pipeline_3.pkl
2024-11-06 22:14:02 | process_logger | INFO | Ejecutando Step 4 con pipeline: pipes/pipeline_4.pkl
2024-11-06 22:14:02 | process_logger | INFO | Cargando el pipeline: /app/pipes/pipeline_4.pkl
2024-11-06 22:14:02 | process_logger | INFO | Ejecutando Step 5 con pipeline: pipes/pipeline_5.pkl
2024-11-06 22:14:02 | process_logger | INFO | Cargando el pipeline: /app/pipes/pipeline_5.pkl
2024-11-06 22:14:12 | process_logger | INFO | Cargando el diccionario de imputaciones...
2024-11-06 22:14:12 | process_logger | INFO | Imputando valores nulos...
2024-11-06 22:14:12 | process_logger | INFO | Valores nulos imputados.
2024-11-06 22:14:12 | process_logger | INFO | Validando columnas y tipos...
2024-11-06 22:14:12 | process_logger | INFO | Realizando la predicción...
2024-11-06 22:14:12 | process_logger | INFO | Tipo de póliza no es 4, realizando predicción...
2024-11-06 22:14:12 | process_logger | INFO | Predicción: 4.384084317938598
2024-11-06 22:14:12 | process_logger | INFO | Predicción realizada para claim_id 561205 en 12.0582s
2024-11-06 22:14:12 | process_logger | INFO | Solicitud recibida en /api/v1/predict/
2024-11-06 22:14:12 | process_logger | INFO | Cargando el modelo...
2024-11-06 22:14:12 | process_logger | INFO | Cargando el modelo desde: models/linear_regression.pkl
2024-11-06 22:14:12 | process_logger | INFO | Ejecutando el pipeline de transformación...
2024-11-06 22:14:12 | process_logger | INFO | Ejecutando Step 1 con pipeline: pipes/pipeline_1.pkl
2024-11-06 22:14:12 | process_logger | INFO | Cargando el pipeline: /app/pipes/pipeline_1.pkl
2024-11-06 22:14:12 | process_logger | INFO | Ejecutando Step 2 con pipeline: pipes/pipeline_2.pkl
2024-11-06 22:14:12 | process_logger | INFO | Cargando el pipeline: /app/pipes/pipeline_2.pkl
2024-11-06 22:14:14 | process_logger | INFO | Ejecutando Step 3 con pipeline: pipes/pipeline_3.pkl
2024-11-06 22:14:14 | process_logger | INFO | Cargando el pipeline: /app/pipes/pipeline_3.pkl
